,entidad,nom_ent,mun,nom_mun,pobtot,pob_edo,prop_pob_mun
1911,14,Jalisco,81,Santa María de los Ángeles,7462,14729215,0.0005066121989528974
1912,8,Chihuahua,61,Satevó,7424,6847912,0.001084126081059453
1913,21,Puebla,81,Ixcamilpa de Guerrero,7390,11567088,0.000638881626905579
1914,31,Yucatán,78,Tekantó,7372,3916927,0.001882087667194206
1915,20,Oaxaca,169,San José Independencia,7368,7615962,0.0009674418018367214
1916,20,Oaxaca,244,San Martín Toxpalan,7342,7615962,0.0009640279192569501
1917,20,Oaxaca,347,San Sebastián Río Hondo,7328,7615962,0.0009621896747909193
1918,20,Oaxaca,213,San Juan Quiahije,7294,7615962,0.0009577253668019877
1919,20,Oaxaca,511,Santo Domingo Nuxaá,7272,7615962,0.0009548366969267967
1920,20,Oaxaca,235,San Luis Amatlán,7260,7615962,0.000953261058813056
1921,20,Oaxaca,378,Santa Cruz Mixtepec,7260,7615962,0.000953261058813056
1922,19,Nuevo León,30,Iturbide,7244,9320338,0.0007772250319677248
1923,31,Yucatán,74,Tahmek,7224,3916927,0.001844302944629808
1924,20,Oaxaca,393,Santa Lucía Ocotlán,7219,7615962,0.000947877628591109
1925,14,Jalisco,62,Mixtlán,7215,14729215,0.0004898428056077666
1926,21,Puebla,101,Nauzontla,7196,11567088,0.0006221099035470293
1927,29,Tlaxcala,51,San Jerónimo Zacualpan,7187,2342829,0.003067658800535592
1928,20,Oaxaca,360,Santa Ana Zegache,7184,7615962,0.0009432820174260323
1929,31,Yucatán,82,Telchac Pueblo,7154,3916927,0.0018264317920655656
1930,20,Oaxaca,77,Reyes Etla,7138,7615962,0.0009372420713233601
1931,26,Sonora,14,Baviácora,7134,5346581,0.0013343106557255936
1932,21,Puebla,139,San Pablo Anicano,7119,11567088,0.0006154530855129657
1933,31,Yucatán,30,Dzitás,7086,3916927,0.0018090712438603017
1934,20,Oaxaca,55,Mariscala de Juárez,7061,7615962,0.0009271317267601913
1935,14,Jalisco,89,Techaluta de Montenegro,7055,14729215,0.0004789800406878439
1936,26,Sonora,49,Quiriego,7048,5346581,0.0013182256099739254
1937,20,Oaxaca,217,San Juan Tamazola,7045,7615962,0.0009250308759418705
1938,19,Nuevo León,2,Agualeguas,7042,9320338,0.0007555519982215237
1939,28,Tamaulipas,26,Miquihuana,7041,6556450,0.0010739043232236957
1940,20,Oaxaca,263,San Miguel Coatlán,7037,7615962,0.0009239804505327101
1941,5,Coahuila de Zaragoza,26,Progreso,7025,5506909,0.0012756702534942924
1942,20,Oaxaca,435,Santa María Tepantlali,7016,7615962,0.0009212230838336641
1943,19,Nuevo León,16,Dr. González,7006,9320338,0.0007516894773558641
1944,30,Veracruz de Ignacio de la Llave,146,Sochiapa,7004,15332413,0.00045681002722793864
1945,31,Yucatán,26,Dzemul,6995,3916927,0.0017858387455267867
1946,20,Oaxaca,273,San Miguel Peras,6994,7615962,0.000918334413958473
1947,10,Durango,25,San Bernardo,6971,3281041,0.002124630566945064
1948,14,Jalisco,76,San Martín de Bolaños,6963,14729215,0.0004727339508588883
1949,31,Yucatán,100,Ucú,6960,3916927,0.0017769031692446656
1950,31,Yucatán,97,Tunkás,6960,3916927,0.0017769031692446656
1951,20,Oaxaca,156,San Ildefonso Villa Alta,6956,7615962,0.0009133448932649611
1952,20,Oaxaca,249,San Mateo Yoloxochitlán,6950,7615962,0.0009125570742080909
1953,20,Oaxaca,145,San Francisco Lachigoló,6948,7615962,0.0009122944678558008
1954,31,Yucatán,61,Río Lagartos,6945,3916927,0.0017730736365523278
1955,20,Oaxaca,410,Santa María Ecatepec,6927,7615962,0.0009095371011567547
1956,20,Oaxaca,137,San Francisco Cahuacuá,6898,7615962,0.0009057293090485483
1957,28,Tamaulipas,28,Nuevo Morelos,6858,6556450,0.0010459928772430201
1958,21,Puebla,130,San Juan Atenco,6844,11567088,0.0005916787353913102
1959,20,Oaxaca,285,San Miguel Tlacamama,6821,7615962,0.0008956189644853795
1960,21,Puebla,7,Ahuatlán,6815,11567088,0.0005891716221057538
1961,21,Puebla,141,San Pedro Yeloixtlahuaca,6809,11567088,0.0005886529090121904
1962,20,Oaxaca,457,Santiago Camotlán,6794,7615962,0.0008920737787294632
1963,20,Oaxaca,530,Santo Tomás Jalieza,6787,7615962,0.0008911546564964478
1964,20,Oaxaca,449,Santa María Zoquitlán,6751,7615962,0.0008864277421552261
1965,21,Puebla,171,Tepeyahualco de Cuauhtémoc,6739,11567088,0.0005826012562539509
1966,20,Oaxaca,391,Santa Lucía Miahuatlán,6730,7615962,0.0008836703754561801
1967,20,Oaxaca,76,La Reforma,6679,7615962,0.0008769739134727825
