,entidad,nom_ent,mun,nom_mun,p_total,pob_edo,prop_pob_mun
1936,14,Jalisco,71,San Cristóbal de la Barranca,6579,13532532,0.00048616179145188795
1937,24,San Luis Potosí,9,Cerro de San Pedro,6558,4836504,0.001355938090819319
1938,31,Yucatán,26,Dzemul,6548,3643791,0.0017970295222750152
1939,20,Oaxaca,511,Santo Domingo Nuxaá,6547,7026438,0.0009317665650789205
1940,20,Oaxaca,217,San Juan Tamazola,6538,7026438,0.0009304856884811336
1941,20,Oaxaca,7,Asunción Ocotlán,6514,7026438,0.0009270700175537022
1942,20,Oaxaca,77,Reyes Etla,6513,7026438,0.0009269276979317259
1943,20,Oaxaca,566,Zapotitlán del Río,6504,7026438,0.000925646821333939
1944,20,Oaxaca,84,San Agustín Etla,6495,7026438,0.0009243659447361523
1945,26,Sonora,49,Quiriego,6494,4811876,0.001349577586787357
1946,21,Puebla,141,San Pedro Yeloixtlahuaca,6460,10774602,0.0005995581089677373
1947,21,Puebla,42,Cuayuca de Andrade,6458,10774602,0.0005993724872621745
1948,16,Michoacán de Ocampo,109,Zináparo,6450,7953344,0.0008109796332209445
1949,20,Oaxaca,396,Santa María la Asunción,6446,7026438,0.0009173922832593129
1950,19,Nuevo León,16,Dr. González,6439,8412172,0.0007654384622663446
1951,20,Oaxaca,360,Santa Ana Zegache,6392,7026438,0.000909707023672592
1952,20,Oaxaca,137,San Francisco Cahuacuá,6386,7026438,0.0009088531059407341
1953,20,Oaxaca,174,Ánimas Trujano,6378,7026438,0.0009077145489649237
1954,8,Chihuahua,43,Matachí,6374,6519870,0.000977626854523173
1955,20,Oaxaca,454,Santiago Atitlán,6374,7026438,0.0009071452704770183
1956,30,Veracruz de Ignacio de la Llave,146,Sochiapa,6373,14264380,0.0004467772170960112
1957,20,Oaxaca,449,Santa María Zoquitlán,6366,7026438,0.0009060067135012079
1958,20,Oaxaca,87,San Agustín Yatareni,6362,7026438,0.0009054374350133027
1959,20,Oaxaca,535,San Vicente Lachixío,6320,7026438,0.0008994600108902975
1960,7,Chiapas,118,San Andrés Duraznal,6290,8641538,0.0007278796899348241
1961,20,Oaxaca,55,Mariscala de Juárez,6281,7026438,0.0008939095456332212
1962,20,Oaxaca,273,San Miguel Peras,6252,7026438,0.0008897822765959082
1963,28,Tamaulipas,28,Nuevo Morelos,6236,6069690,0.0010274000813880115
1964,20,Oaxaca,76,La Reforma,6226,7026438,0.0008860819664245241
1965,20,Oaxaca,285,San Miguel Tlacamama,6219,7026438,0.0008850857290706899
1966,20,Oaxaca,567,Zapotitlán Lagunas,6219,7026438,0.0008850857290706899
1967,21,Puebla,31,Coatzingo,6212,10774602,0.0005765410174779542
1968,20,Oaxaca,156,San Ildefonso Villa Alta,6200,7026438,0.0008823816562531399
1969,8,Chihuahua,26,Gran Morelos,6199,6519870,0.0009507858285517963
1970,20,Oaxaca,269,San Miguel el Grande,6194,7026438,0.000881527738521282
1971,20,Oaxaca,457,Santiago Camotlán,6184,7026438,0.000880104542301519
1972,29,Tlaxcala,51,San Jerónimo Zacualpan,6154,2139699,0.0028761054709096935
1973,20,Oaxaca,347,San Sebastián Río Hondo,6138,7026438,0.0008735578396906086
1974,14,Jalisco,89,Techaluta de Montenegro,6126,13532532,0.0004526869029387848
1975,31,Yucatán,100,Ucú,6120,3643791,0.0016795694374348036
1976,26,Sonora,6,Arizpe,6099,4811876,0.0012674890209140883
1977,21,Puebla,201,Xochiltepec,6082,10774602,0.0005644756066163744
1978,21,Puebla,80,Atlequizayan,6078,10774602,0.0005641043632052488
1979,20,Oaxaca,391,Santa Lucía Miahuatlán,6057,7026438,0.0008620299503105272
1980,20,Oaxaca,474,Santiago Llano Grande,6052,7026438,0.0008613183522006456
1981,20,Oaxaca,507,Santo Domingo Armenta,6044,7026438,0.0008601797952248351
1982,31,Yucatán,99,Uayma,5996,3643791,0.0016455389455652095
1983,32,Zacatecas,11,Trinidad García de la Cadena,5993,2745469,0.0021828693021119523
1984,21,Puebla,171,Tepeyahualco de Cuauhtémoc,5989,10774602,0.0005558441973077057
1985,20,Oaxaca,378,Santa Cruz Mixtepec,5983,7026438,0.00085149829828428
1986,31,Yucatán,49,Mayapán,5958,3643791,0.0016351102464438822
1987,31,Yucatán,68,Sinanché,5956,3643791,0.0016345613675427598
1988,21,Puebla,160,Teotlalco,5950,10774602,0.0005522245740492317
1989,20,Oaxaca,164,San Jorge Nuchita,5914,7026438,0.0008416782443679145
